experiment_id,date,phase,research_question,dataset,subjects,classes,sessions,frequency_hz,epoch_window_s,channels,preprocessing,features,model,split_strategy,seed,primary_metric,status,result_path,notes
P1-E001,2026-09-21,Phase 1,"What is the actual BNCI2014_001 data structure exposed by MOABB?",BNCI2014_001,1,"left_hand|right_hand|feet|tongue",both,NA,NA,"22 EEG + 3 EOG + STI","structural audit only",none,none,none,20260920,none,complete,outputs/P1-E001,"250 Hz; 2 sessions x 6 runs; 48 four-class trials per run"
P2-SMOKE-S1,2026-09-21,Phase 2,"One-subject interface smoke test",BNCI2014_001,1,"left_hand|right_hand",both,8-30,"trial 2.5-5.5 exclusive",22 EEG,"IIR Butterworth zero phase; expert artifact exclusion",CSP4,LDA/SVM,smoke,20260920,none,failed,outputs/P2-SMOKE-S1,"Preserved failure: CSP verbose parameter incompatible with installed MNE"
P2-SMOKE-S1B,2026-09-21,Phase 2,"One-subject interface smoke test rerun",BNCI2014_001,1,"left_hand|right_hand",both,8-30,"trial 2.5-5.5 exclusive",22 EEG,"IIR Butterworth zero phase; expert artifact exclusion",CSP4,LDA/SVM,smoke,20260920,BA,complete,outputs/P2-SMOKE-S1B,"Smoke result only; not nine-subject inference"
P2-E001,2026-09-21,Phase 2,"Within-run/session vs cross-session vs LOSO binary baseline",BNCI2014_001,1-9,"left_hand|right_hand",both,8-30,"trial 2.5-5.5 exclusive",22 EEG,"IIR Butterworth zero phase; exclude 246 flagged binary trials",CSP4,"LDA;linearSVM",LOSO/within-session/cross-session,20260920,BA,complete,outputs/P2-E001,"2346 clean trials; LOSO mean BA LDA 0.627609 and SVM 0.620871; exploratory"
P2-E002-ALLTRIALS,2026-09-21,Phase 2,"Sensitivity of binary LOSO to include-all policy",BNCI2014_001,1-9,"left_hand|right_hand",both,8-30,"trial 2.5-5.5 exclusive",22 EEG,"IIR Butterworth zero phase; include 2592 trials",CSP4,"LDA;linearSVM",LOSO,20260920,BA,complete,outputs/P2-E002-ALLTRIALS,"LDA BA 0.614969; SVM 0.605710; both source and target composition changed; old config n_clean_epochs label erroneous"
P3-E001,2026-09-21,Phase 3,"Does Welch spectral power complement CSP in source-only binary LOSO?",BNCI2014_001,1-9,"left_hand|right_hand",both,"8-30; Welch bins 8-12|12-16|16-20|20-30","trial 2.5-5.5 exclusive",22 EEG,"IIR Butterworth zero phase; common clean test set",CSP4/PSD88/Fusion92,shrinkageLDA,LOSO,20260920,BA,complete,outputs/P3-E001,"Clean-source BA CSP 0.628471 PSD 0.581919 fusion 0.646300; descriptive; fusion not novel"
P4-E001,2026-09-21,Phase 4,"EOG regression artifact study interface",BNCI2014_001,1-9,"left_hand|right_hand",both,8-30,"trial 2.5-5.5 exclusive","22 EEG+3 EOG for cleaning","EOG regression",CSP4,shrinkageLDA,LOSO,20260920,BA,failed,outputs/P4-E001,"Preserved failure: EOG filter picks were not explicit"
P4-E001B,2026-09-21,Phase 4,"Does source-fitted EOG regression improve binary LOSO?",BNCI2014_001,1-9,"left_hand|right_hand",both,8-30,"trial 2.5-5.5 exclusive","22 EEG+3 EOG for cleaning","source-only EOG ridge regression; clean-source and same clean target",CSP4,shrinkageLDA,LOSO,20260920,BA,complete,outputs/P4-E001B,"Uncorrected 0.628471 corrected 0.625664 BA; EOG-correlation drop not proof of neural preservation"
Q4-E001,2026-09-23,Phase 4,"Does fixed filter-bank CSP improve four-class source-only LOSO?",BNCI2014_001,1-9,"left_hand|right_hand|feet|tongue",both,"broad 4-40; nine 4-Hz bands 4-40","trial 2.5-5.5 exclusive",22 EEG,"Butterworth4 zero phase; include all 5184 trials",multiclassCSP8/FBCSP72/MI8,"shrinkageLDA;linearSVM",LOSO,20260922,BA,complete,outputs/Q4-E001,"Nine-person mean BA broadLDA 0.390432; broadSVM 0.375; filterbankLDA 0.381173; filterbankMI8LDA 0.313657; independent validation passed"
Q4-A001,2026-09-23,Phase 4,"How does source-only MI feature count affect four-class filter-bank CSP?",BNCI2014_001,1-9,"left_hand|right_hand|feet|tongue",both,"nine 4-Hz bands 4-40","trial 2.5-5.5 exclusive",22 EEG,"reuse Q4-E001 source-fitted per-fold CSP features; all trials",FBCSP72/MI8-16-32-72,shrinkageLDA,LOSO,20260922,BA,complete,outputs/Q4-A001,"Exploratory after seeing Q4; mean BA 0.313657/0.346451/0.367477/0.381173; endpoints reproduce Q4 exactly; no target-based k choice"
Q5-E001,2026-09-23,Phase 5,"How does source-only EEGNet compare with broad CSP8+LDA on identical four-class LOSO trials?",BNCI2014_001,1-9,"left_hand|right_hand|feet|tongue",both,4-40,"trial 2.5-5.5 exclusive",22 EEG,"Butterworth4 zero phase; include all 5184 trials; fixed 1e6 V-to-uV scaling",EEGNet,"LOSO; four source-only paired-subject inner validation fits per outer fold; three fixed final seeds","20260924|20260925|20260926",balanced_accuracy,cloud_ready_no_training,results/Q5-E001,"Selection seed 20260923; cap 40 epochs; startup failed before first fit; 0/9 folds and 0/27 final fits; see configs/q5_e001_eegnet.json"
