experiment,target_subject,rule,full_selected_epoch,omitted_inner_fold,omitted_validation_pair,LOIFO_selected_epoch,epoch_shift,absolute_epoch_shift
Q5,1,mean_ce,27,1,S2+S3,2,-25,25
Q5,1,mean_ce,27,2,S4+S5,18,-9,9
Q5,1,mean_ce,27,3,S6+S7,27,0,0
Q5,1,mean_ce,27,4,S8+S9,1,-26,26
Q5,1,median_ce,9,1,S2+S3,4,-5,5
Q5,1,median_ce,9,2,S4+S5,27,18,18
Q5,1,median_ce,9,3,S6+S7,27,18,18
Q5,1,median_ce,9,4,S8+S9,6,-3,3
Q5,1,trimmed_mean_ce,9,1,S2+S3,4,-5,5
Q5,1,trimmed_mean_ce,9,2,S4+S5,27,18,18
Q5,1,trimmed_mean_ce,9,3,S6+S7,27,18,18
Q5,1,trimmed_mean_ce,9,4,S8+S9,6,-3,3
Q5,1,worst_fold_ce,1,1,S2+S3,1,0,0
Q5,1,worst_fold_ce,1,2,S4+S5,6,5,5
Q5,1,worst_fold_ce,1,3,S6+S7,1,0,0
Q5,1,worst_fold_ce,1,4,S8+S9,1,0,0
Q5,1,mean_rank,27,1,S2+S3,6,-21,21
Q5,1,mean_rank,27,2,S4+S5,18,-9,9
Q5,1,mean_rank,27,3,S6+S7,27,0,0
Q5,1,mean_rank,27,4,S8+S9,19,-8,8
Q5,1,median_rank,6,1,S2+S3,1,-5,5
Q5,1,median_rank,6,2,S4+S5,6,0,0
Q5,1,median_rank,6,3,S6+S7,27,21,21
Q5,1,median_rank,6,4,S8+S9,1,-5,5
Q5,2,mean_ce,1,1,S1+S3,1,0,0
Q5,2,mean_ce,1,2,S4+S5,9,8,8
Q5,2,mean_ce,1,3,S6+S7,13,12,12
Q5,2,mean_ce,1,4,S8+S9,1,0,0
Q5,2,median_ce,11,1,S1+S3,5,-6,6
Q5,2,median_ce,11,2,S4+S5,11,0,0
Q5,2,median_ce,11,3,S6+S7,11,0,0
Q5,2,median_ce,11,4,S8+S9,5,-6,6
Q5,2,trimmed_mean_ce,11,1,S1+S3,5,-6,6
Q5,2,trimmed_mean_ce,11,2,S4+S5,11,0,0
Q5,2,trimmed_mean_ce,11,3,S6+S7,11,0,0
Q5,2,trimmed_mean_ce,11,4,S8+S9,5,-6,6
Q5,2,worst_fold_ce,1,1,S1+S3,1,0,0
Q5,2,worst_fold_ce,1,2,S4+S5,5,4,4
Q5,2,worst_fold_ce,1,3,S6+S7,1,0,0
Q5,2,worst_fold_ce,1,4,S8+S9,1,0,0
Q5,2,mean_rank,13,1,S1+S3,5,-8,8
Q5,2,mean_rank,13,2,S4+S5,13,0,0
Q5,2,mean_rank,13,3,S6+S7,13,0,0
Q5,2,mean_rank,13,4,S8+S9,12,-1,1
Q5,2,median_rank,13,1,S1+S3,1,-12,12
Q5,2,median_rank,13,2,S4+S5,13,0,0
Q5,2,median_rank,13,3,S6+S7,13,0,0
Q5,2,median_rank,13,4,S8+S9,1,-12,12
Q5,3,mean_ce,2,1,S1+S2,2,0,0
Q5,3,mean_ce,2,2,S4+S5,19,17,17
Q5,3,mean_ce,2,3,S6+S7,2,0,0
Q5,3,mean_ce,2,4,S8+S9,1,-1,1
Q5,3,median_ce,9,1,S1+S2,6,-3,3
Q5,3,median_ce,9,2,S4+S5,25,16,16
Q5,3,median_ce,9,3,S6+S7,25,16,16
Q5,3,median_ce,9,4,S8+S9,6,-3,3
Q5,3,trimmed_mean_ce,9,1,S1+S2,6,-3,3
Q5,3,trimmed_mean_ce,9,2,S4+S5,25,16,16
